Fecha,Visados
Jan-97,23080
Feb-97,25764
Mar-97,23511
Apr-97,27234
May-97,24349
Jun-97,29118
Jul-97,36819
Aug-97,17870
Sep-97,25456
Oct-97,37807
Nov-97,32373
Dec-97,34347
Jan-98,26771
Feb-98,30230
Mar-98,35001
Apr-98,36499
May-98,36488
Jun-98,39457
Jul-98,49897
Aug-98,24955
Sep-98,34285
Oct-98,39519
Nov-98,38878
Dec-98,37841
Jan-99,33191
Feb-99,40375
Mar-99,47902
Apr-99,42026
May-99,50154
Jun-99,48837
Jul-99,54765
Aug-99,28755
Sep-99,39335
Oct-99,40889
Nov-99,47218
Dec-99,42046
Jan-00,39552
Feb-00,48820
Mar-00,52880
Apr-00,52062
May-00,61733
Jun-00,44223
Jul-00,51072
Aug-00,31463
Sep-00,35721
Oct-00,37669
Nov-00,44296
Dec-00,36177
Jan-01,39567
Feb-01,42118
Mar-01,48092
Apr-01,37474
May-01,44095
Jun-01,45744
Jul-01,53723
Aug-01,31057
Sep-01,35409
Oct-01,41947
Nov-01,45423
Dec-01,37934
Jan-02,39458
Feb-02,43373
Mar-02,39019
Apr-02,44416
May-02,47706
Jun-02,44513
Jul-02,56799
Aug-02,32761
Sep-02,42647
Oct-02,48832
Nov-02,42718
Dec-02,41939
Jan-03,47041
Feb-03,49376
Mar-03,54573
Apr-03,54070
May-03,57021
Jun-03,55129
Jul-03,72981
Aug-03,29892
Sep-03,47993
Oct-03,58678
Nov-03,53342
Dec-03,56236
Jan-04,44319
Feb-04,54459
Mar-04,64320
Apr-04,54684
May-04,62277
Jun-04,64525
Jul-04,80756
Aug-04,40197
Sep-04,52389
Oct-04,53767
Nov-04,59860
Dec-04,55498
Jan-05,47790
Feb-05,58509
Mar-05,62789
Apr-05,63718
May-05,65083
Jun-05,66440
Jul-05,71859
Aug-05,41898
Sep-05,64525
Oct-05,57551
Nov-05,65341
Dec-05,64149
Jan-06,59756
Feb-06,63933
Mar-06,77421
Apr-06,54858
May-06,75280
Jun-06,78589
Jul-06,86234
Aug-06,55279
Sep-06,126753
Oct-06,69985
Nov-06,62078
Dec-06,55395
Jan-07,59268
Feb-07,59472
Mar-07,98478
Apr-07,59370
May-07,59675
Jun-07,58447
Jul-07,54281
Aug-07,33738
Sep-07,44248
Oct-07,47317
Nov-07,44209
Dec-07,32924
Jan-08,29555
Feb-08,30083
Mar-08,27789
Apr-08,33253
May-08,23238
Jun-08,21626
Jul-08,22775
Aug-08,10827
Sep-08,16169
Oct-08,16754
Nov-08,15377
Dec-08,17349
Jan-09,9861
Feb-09,10253
Mar-09,11061
Apr-09,10418
May-09,9640
Jun-09,8981
Jul-09,10949
Aug-09,4971
Sep-09,7749
Oct-09,9299
Nov-09,9373
Dec-09,8294
Jan-10,6331
Feb-10,7575
Mar-10,9653
Apr-10,8036
May-10,8424
Jun-10,9601
Jul-10,8125
Aug-10,5009
Sep-10,7412
Oct-10,5849
Nov-10,7670
Dec-10,7977
Jan-11,6777
Feb-11,8190
Mar-11,6986
Apr-11,5922
May-11,6516
Jun-11,8545
Jul-11,7236
Aug-11,4351
Sep-11,7870
Oct-11,5882
Nov-11,4597
Dec-11,5414
Jan-12,4771
Feb-12,4599
Mar-12,4846
Apr-12,3797
May-12,3945
Jun-12,3498
Jul-12,4038
Aug-12,2639
Sep-12,3155
Oct-12,3181
Nov-12,3106
Dec-12,2587
Jan-13,3274
Feb-13,4298
Mar-13,2619
Apr-13,2618
May-13,2628
Jun-13,2900
Jul-13,3979
Aug-13,1585
